id	locality	countryCode	establishmentMeans	threatStatus	appendixCITES	occurrenceRemarks
urn:lsid:catalogueoflife.org:taxon:4f13e96b-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Nariño | Valle del Cauca	CO			II	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f13eaf7-5e17-11e7-8cee-bc764e092680:col20170824	Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f13da0a-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f21f1f4-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
gbif.org/species/2434814	Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f219a26-5e17-11e7-8cee-bc764e092680:col20170824	Cundinamarca | Meta | Putumayo	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Andina | Orinoquía
urn:lsid:catalogueoflife.org:taxon:2caa5700-5e17-11e7-8cee-bc764e092680:col20170824	Cauca | Chocó | Córdoba | Cundinamarca | Santander | Valle del Cauca | Atlántico | Casanare | Nariño	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Pacífica
urn:lsid:catalogueoflife.org:taxon:2cb2b305-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Cauca | Huila | Risaralda | Valle del Cauca	CO		VU		Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:3b860605-5e17-11e7-8cee-bc764e092680:col20170824	Chocó | Magdalena | Antioquia | Atlántico | Chocó | Nariño | Norte de Santander	CO			III	Distribución en regiones naturales de Colombia y zonas de interés: Pacífica
urn:lsid:catalogueoflife.org:taxon:4f13b695-5e17-11e7-8cee-bc764e092680:col20170824	Amazonas | Antioquia | Boyacá | Cundinamarca | Caldas | Caquetá | Cauca | Huila | Meta | Putumayo | Quindío | Risaralda | Santander | Valle del Cauca | Vaupés | Vichada | Guaviare	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Andina | Orinoquía
urn:lsid:catalogueoflife.org:taxon:4f21a4f6-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Boyacá | Cauca | Cesar | Cundinamarca | Meta | Nariño | Quindío | Risaralda | Santander | Caquetá | Caldas | Casanare | Norte de Santander | Tolima | Valle del Cauca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Andina | Serranía de Perijá
urn:lsid:catalogueoflife.org:taxon:4f21a1c7-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Boyacá | Caldas | Cauca | Cesar | Córdoba | Magdalena | Meta | Nariño | Putumayo | Quindío | Risaralda | Santander | Amazonas | Caquetá | Guaviare | Vaupés | Arauca | Atlántico | Casanare | Chocó | Cundinamarca | Guainía | Huila | Norte de Santander | Sucre | Tolima | Valle del Cauca | Vichada	CO			III	Distribución en regiones naturales de Colombia y zonas de interés: Andina
urn:lsid:catalogueoflife.org:taxon:4f21a683-5e17-11e7-8cee-bc764e092680:col20170824	Antioquia | Arauca | Bolívar | Boyacá | Caldas | Cauca | Casanare | Cesar | Chocó | Córdoba | Cundinamarca | La Guajira | Huila | Magdalena | Nariño | Quindío | Risaralda | Santander | Sucre | Tolima | Putumayo | Amazonas | Guaviare | Atlántico | Caquetá | Guainía | Vichada	CO				Distribución en regiones naturales de Colombia y zonas de interés: Amazonía | Andina | Caribe | Orinoquía | Pacífica
urn:lsid:catalogueoflife.org:taxon:4f13b379-5e17-11e7-8cee-bc764e092680:col20170824	Atlántico | Bolívar | Magdalena | Sucre | Cundinamarca	CO				Distribución en regiones naturales de Colombia y zonas de interés: Caribe
