id	identifier	bibliographicCitation	title	creator	date	source
mammaldiversity.org/explore.html#species-id=1000045	Bulletin of the American Museum of Natural History 439:3-60. https://doi.org/10.1206/0003-0090.439.1.1	Voss RS, Giarla TC, Díaz-Nieto JF, Jansa SA. 2020. A Revision of the didelphid marsupial genus Marmosa Part 2. Species of the rapposa group (subgenus Micoureus). Bulletin of the American Museum of Natural History 439:3-60. https://doi.org/10.1206/0003-0090.439.1.1	A Revision of the didelphid marsupial genus Marmosa Part 2. Species of the rapposa group (subgenus Micoureus)	Voss RS, TC Giarla, JF Díaz-Nieto, SA Jansa	2020	Bulletin of the American Museum of Natural History 439:3-60. https://doi.org/10.1206/0003-0090.439.1.1
urn:lsid:catalogueoflife.org:taxon:477d4ff6-5e17-11e7-8cee-bc764e092680:col20170724	Caldasia 15:471-501	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501.	Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA	1986	Caldasia 15:471-501
urn:lsid:catalogueoflife.org:taxon:47819553-5e17-11e7-8cee-bc764e092680:col20170724	Biota Colombiana 4:65-78	CUARTAS-CALLE CA y J MUÑOZ-ARANGO. 2003. Lista de los Mamíferos (Mammalia: Theria) del departamento de Antioquia, Colombia. Biota Colombiana 4:65-78. ROSSI RV. 2005. Revisão taxonómica de Marmosa Gray, 1821 (Didelphimorphia, Didelphidae). Tese (Doutorado), Universidade de São Paulo, Departamento de Zoologia, São Paulo, Brasil. 357 pp. ROSSI RV, RS VOSS y DP LUNDE. 2010. A revision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms. Bulletin of the American Museum of Natural History 334:1-83.	Lista de los Mamíferos (Mammalia: Theria) del departamento de Antioquia, Colombia	CUARTAS-CALLE CA y J MUÑOZ-ARANGO	2003	Biota Colombiana 4:65-78
urn:lsid:catalogueoflife.org:taxon:478196d3-5e17-11e7-8cee-bc764e092680:col20170724	Bulletin of the American Museum of Natural History 334:1-83	ROSSI RV, RS VOSS y DP LUNDE. 2010. A revision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms. Bulletin of the American Museum of Natural History 334:1-83.	A revision of the didelphid marsupial genus Marmosa evision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms	ROSSI RV, RS VOSS y DP LUNDE	2010	Bulletin of the American Museum of Natural History 334:1-83
mammaldiversity.org/explore.html#species-id=1000056	Bulletin of the American Museum of Natural History 439:3-60. https://doi.org/10.1206/0003-0090.439.1.1	Voss RS, Giarla TC, Díaz-Nieto JF, Jansa SA. 2020. A Revision of the didelphid marsupial genus Marmosa Part 2. Species of the rapposa group (subgenus Micoureus). Bulletin of the American Museum of Natural History 439:3-60. https://doi.org/10.1206/0003-0090.439.1.1	A Revision of the didelphid marsupial genus Marmosa Part 2. Species of the rapposa group (subgenus Micoureus)	Voss RS, TC Giarla, JF Díaz-Nieto, SA Jansa	2020	Bulletin of the American Museum of Natural History 439:3-60. https://doi.org/10.1206/0003-0090.439.1.1
gbif.org/species/10075579	Journal of Parasitology 59:52-59	AYALA SC, A D´ALESSANDRO, R MACKENZIE y D ANGEL. 1973. Hemoparasite infections in 830 wild animals from the Eastern llanos of Colombia. Journal of Parasitology 59:52-59.	Hemoparasite infections in 830 wild animals from the Eastern llanos of Colombia	AYALA SC, A D´ALESSANDRO, R MACKENZIE y D ANGEL	1973	Journal of Parasitology 59:52-59
urn:lsid:catalogueoflife.org:taxon:478199c4-5e17-11e7-8cee-bc764e092680:col20170724	Caldasia 15:471-501	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA. 1986. Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución. Caldasia 15:471-501. HANDLEY CO, Jr. y L GORDON. 1979. New species of mammals from northern South America: mouse possums, genus Marmosa Gray. Pp: 65-72, en: Vertebrate Ecology in the Northern Neotropics (JF Eisenberg, ed.). Smithsonian Institution Press, Washington, D.C., USA. ROSSI RV, RS VOSS y DP LUNDE. 2010. A revision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms. Bulletin of the American Museum of Natural History 334:1-83.	Lista actualizada de los mamíferos de Colombia: anotaciones sobre su distribución	CUERVO DÍAZ A, JI HERNÁNDEZ-CAMACHO y A CADENA	1986	Caldasia 15:471-501
gbif.org/es/species/11909571	Bulletin of the American Museum of Natural History 334:1-83	ROSSI RV, RS VOSS y DP LUNDE. 2010. A revision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms. Bulletin of the American Museum of Natural History 334:1-83.	A revision of the didelphid marsupial genus Marmosa evision of the didelphid marsupial genus Marmosa. Part 1. The species in Tate´s ´mexicana´ and ´mitis´ sections and other closely related forms	ROSSI RV, RS VOSS y DP LUNDE	2010	Bulletin of the American Museum of Natural History 334:1-83
urn:lsid:catalogueoflife.org:taxon:477d46ad-5e17-11e7-8cee-bc764e092680:col20170724	Check List 8:805-809	DÍAZ-N JF. 2012. New records of Marmosops noctivagus (Tschudi, 1845) (Didelphimorphia: Didelphidae) and first record of Marmosops bishopi (Pine, 1981) for Colombia. Check List 8:805-809.	New records of Marmosops noctivagus (Tschudi, 1845) (Didelphimorphia: Didelphidae) and first record of Marmosops bishopi (Pine, 1981) for Colombia	DÍAZ-N JF	2012	Check List 8:805-809
gbif.org/species/10819052	Mastozoología Neotropical 18:45-61	DÍAZ-N JF, M GÓMEZ-LAVERDE y C SÁNCHEZ-GIRALDO. 2011. Rediscovery and redescription of Marmosops handleyi (Pine, 1981) (Didelphimorphia: Didelphidae), the least known Andean slender mouse opossum. Mastozoología Neotropical 18:45-61.	Rediscovery and redescription of Marmosops handleyi (Pine, 1981) (Didelphimorphia: Didelphidae), the least known Andean slender mouse opossum	DÍAZ-N JF, M GÓMEZ-LAVERDE y C SÁNCHEZ-GIRALDO	2011	Mastozoología Neotropical 18:45-61
gbif.org/es/species/11176526	Bulletin of the American Museum of Natural History 402:1-70	Díaz-Nieto JF y RS Voss. 2016. A revision of the didelphid marsupial genus Marmosops, part 1. Species of the subgenus Sciophanes. Bulletin of the American Museum of Natural History 402:1-70.	A revision of the didelphid marsupial genus Marmosops, part 1. Species of the subgenus Sciophanes	Díaz-Nieto JF y RS Voss	2016	Bulletin of the American Museum of Natural History 402:1-70
urn:lsid:catalogueoflife.org:taxon:1af1f7f6-5e17-11e7-8cee-bc764e092680:col20170724	Mastozoología Neotropical 18:45-61	DÍAZ-N JF, M GÓMEZ-LAVERDE y C SÁNCHEZ-GIRALDO. 2011. Rediscovery and redescription of Marmosops handleyi (Pine, 1981) (Didelphimorphia: Didelphidae), the least known Andean slender mouse opossum. Mastozoología Neotropical 18:45-61.	Rediscovery and redescription of Marmosops handleyi (Pine, 1981) (Didelphimorphia: Didelphidae), the least known Andean slender mouse opossum	DÍAZ-N JF, M GÓMEZ-LAVERDE y C SÁNCHEZ-GIRALDO	2011	Mastozoología Neotropical 18:45-61
gbif.org/es/species/11130407	Bulletin of the American Museum of Natural History 402:1-70	Díaz-Nieto JF y RS Voss. 2016. A revision of the didelphid marsupial genus Marmosops, part 1. Species of the subgenus Sciophanes. Bulletin of the American Museum of Natural History 402:1-70.	A revision of the didelphid marsupial genus Marmosops, part 1. Species of the subgenus Sciophanes	Díaz-Nieto JF y RS Voss	2016	Bulletin of the American Museum of Natural History 402:1-70
urn:lsid:catalogueoflife.org:taxon:1af1fdc3-5e17-11e7-8cee-bc764e092680:col20170724	Check List 8:805-809	DÍAZ-N JF. 2012. New records of Marmosops noctivagus (Tschudi, 1845) (Didelphimorphia: Didelphidae) and first record of Marmosops bishopi (Pine, 1981) for Colombia. Check List 8:805-809.	New records of Marmosops noctivagus (Tschudi, 1845) (Didelphimorphia: Didelphidae) and first record of Marmosops bishopi (Pine, 1981) for Colombia	DÍAZ-N JF	2012	Check List 8:805-809
urn:lsid:organismnames.com:name:5474186	Bulletin of The American Museum of Natural History 432:1-87.	Voss RS, Fleck DW, Jansa SA. 2019. Mammalian diversity and Matses ethnomammalogy in Amazonian Peru Part 3: Marsupials (Didelphimorphia). Bulletin of The American Museum of Natural History 432:1-87.	Mammalian diversity and Matses ethnomammalogy in Amazonian Peru Part 3: Marsupials (Didelphimorphia)	Voss RS, DW Fleck, SA Jansa	2019	Bulletin of The American Museum of Natural History 432:1-87.
urn:lsid:catalogueoflife.org:taxon:49fdd13d-5e17-11e7-8cee-bc764e092680:col20170724	Biota Colombiana 1:43-75	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA. 2000b. Mamíferos (Synapsida: Theria) de Colombia. Biota Colombiana 1:43-75.	Mamíferos (Synapsida: Theria) de Colombia	ALBERICO M, A CADENA, JI HERNÁNDEZ-CAMACHO y Y MUÑOZ-SABA	2000	Biota Colombiana 1:43-75
