id	description	type	source	created	creator	contributor	license
urn:lsid:catalogueoflife.org:taxon:4f1a3066-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3674	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Phyllostomus hastatus ID MAM-78. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3674	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a31ef-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7633	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Phyllostomus latifolius ID MAM-79. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7633	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1239b7-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7709	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Anoura fistulata ID MAM-8. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7709	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
gbif.org/species/5787387	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7634	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus albericoi ID MAM-80. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7634	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
gbif.org/species/8883987	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7635	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus angustirostris ID MAM-81. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7635	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ac654-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3769	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus brachycephalus ID MAM-82. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3769	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ac7da-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7636	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus chocoensis ID MAM-83. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7636	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ac95d-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3770	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus dorsalis ID MAM-84. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3770	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1acaeb-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3771	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus helleri ID MAM-85. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3771	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
gbif.org/species/7355454	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7637	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus incarum ID MAM-86. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7637	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1acc77-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3772	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus infuscus ID MAM-87. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3772	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
gbif.org/species/5787383	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7638	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus ismaeli ID MAM-88. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7638	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a55f8-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=240	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Anoura geoffroyi ID MAM-9. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=240	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
gbif.org/species/5787386	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7640	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus nigellus ID MAM-90. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7640	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
gbif.org/species/8742134	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7724	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus nitelinea ID MAM-91. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7724	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ad122-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7725	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus umbratus ID MAM-92. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7725	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ad2b7-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=3773	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Platyrrhinus vittatus ID MAM-93. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=3773	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ad8c3-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7726	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Pteronotus davyi ID MAM-94. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7726	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1ada3f-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7727	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Pteronotus gymnonotus ID MAM-95. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7727	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1add64-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7728	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Pteronotus personatus ID MAM-96. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7728	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
urn:lsid:catalogueoflife.org:taxon:4f1a732d-5e17-11e7-8cee-bc764e092680:col20170724	Publicado: http://biomodelos.humboldt.org.co/es/species/visor?species_id=7729	Biomodelo	Rojas D., Moreira M., Ramos-Pereira M. J., Fonseca C. & Dávalos L. 2019. Modelo de distribución de Rhinophylla alethina ID MAM-97. Instituto Alexander von Humboldt. http://biomodelos.humboldt.org.co/es/species/visor?species_id=7729	2019-02-25	Rojas D. | Moreira M. | Ramos-Pereira M. J. | Fonseca C. | Dávalos L	Instituto Alexander von Humboldt	https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es
